Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	1	4	M	2106-3	13	34008	38.2 (Unreliable)
1999	1	6	M	2106-3	34	198432	17.1
1999	1	12	M	2054-5	13	21198	61.3 (Unreliable)
1999	1	12	M	2106-3	10	72248	13.8 (Unreliable)
1999	1	13	M	2106-3	10	39623	25.2 (Unreliable)
1999	1	17	M	2054-5	10	16094	62.1 (Unreliable)
1999	1	17	M	2106-3	13	68706	18.9 (Unreliable)
1999	1	18	M	2054-5	12	5080	236.2 (Unreliable)
1999	1	18	M	2106-3	17	37272	45.6 (Unreliable)
1999	1	26	M	2106-3	12	52266	23.0 (Unreliable)
1999	1	37	M	2106-3	15	39844	37.6 (Unreliable)
1999	1	39	M	2106-3	17	62324	27.3 (Unreliable)
1999	1	48	M	2054-5	10	21073	47.5 (Unreliable)
1999	1	48	M	2106-3	32	142655	22.4
1999	1	55	M	2106-3	14	29157	48.0 (Unreliable)
1999	1-4	1	M	2054-5	14	38520	36.3 (Unreliable)
1999	1-4	1	M	2106-3	12	80344	14.9 (Unreliable)
1999	1-4	4	M	1002-5	11	11144	98.7 (Unreliable)
1999	1-4	4	M	2106-3	20	130873	15.3
1999	1-4	5	M	2106-3	14	57000	24.6 (Unreliable)
1999	1-4	6	M	2054-5	11	87495	12.6 (Unreliable)
1999	1-4	6	M	2106-3	124	819090	15.1
1999	1-4	8	M	2106-3	16	106259	15.1 (Unreliable)
1999	1-4	12	M	2054-5	33	85973	38.4
1999	1-4	12	M	2106-3	47	290798	16.2
1999	1-4	13	M	2054-5	17	82083	20.7 (Unreliable)
1999	1-4	13	M	2106-3	23	148022	15.5
1999	1-4	17	M	2054-5	15	71029	21.1 (Unreliable)
1999	1-4	17	M	2106-3	29	276613	10.5
1999	1-4	18	M	2054-5	11	20409	53.9 (Unreliable)
1999	1-4	18	M	2106-3	30	149688	20.0
1999	1-4	19	M	2106-3	12	72036	16.7 (Unreliable)
1999	1-4	20	M	2106-3	12	67284	17.8 (Unreliable)
1999	1-4	21	M	2106-3	13	96925	13.4 (Unreliable)
1999	1-4	22	M	2054-5	16	52018	30.8 (Unreliable)
1999	1-4	22	M	2106-3	13	74262	17.5 (Unreliable)
