Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	55-64	6	F	2106-3	16	1052587	1.5 (Unreliable)
1999	55-64	6	M	2106-3	15	991258	1.5 (Unreliable)
1999	55-64	12	M	2106-3	10	626593	1.6 (Unreliable)
1999	55-64	17	F	2106-3	10	442395	2.3 (Unreliable)
1999	55-64	36	M	2106-3	12	622646	1.9 (Unreliable)
1999	55-64	37	F	2106-3	11	300197	3.7 (Unreliable)
1999	55-64	39	F	2106-3	12	467264	2.6 (Unreliable)
1999	55-64	39	M	2106-3	10	430556	2.3 (Unreliable)
1999	55-64	40	F	2106-3	10	140900	7.1 (Unreliable)
1999	55-64	42	M	2106-3	10	485584	2.1 (Unreliable)
1999	55-64	48	F	2106-3	16	703171	2.3 (Unreliable)
1999	55-64	48	M	2106-3	20	661727	3
1999	65-74	1	F	2106-3	31	140248	22.1
1999	65-74	1	M	2106-3	29	114849	25.3
1999	65-74	4	F	2106-3	44	181112	24.3
1999	65-74	4	M	2106-3	22	162063	13.6
1999	65-74	5	F	2106-3	17	96349	17.6 (Unreliable)
1999	65-74	5	M	2106-3	15	81289	18.5 (Unreliable)
1999	65-74	6	F	2054-5	11	60463	18.2 (Unreliable)
1999	65-74	6	F	2106-3	145	838654	17.3
1999	65-74	6	M	2106-3	135	706395	19.1
1999	65-74	8	F	2106-3	19	114087	16.7 (Unreliable)
1999	65-74	8	M	2106-3	18	98547	18.3 (Unreliable)
1999	65-74	9	M	2106-3	15	97170	15.4 (Unreliable)
1999	65-74	12	F	2106-3	98	722609	13.6
1999	65-74	12	M	2054-5	10	44799	22.3 (Unreliable)
1999	65-74	12	M	2106-3	80	621418	12.9
1999	65-74	13	F	2106-3	35	186902	18.7
1999	65-74	13	M	2106-3	39	154056	25.3
1999	65-74	17	F	2054-5	10	55200	18.1 (Unreliable)
1999	65-74	17	F	2106-3	66	367609	18
1999	65-74	17	M	2106-3	40	298534	13.4
1999	65-74	18	F	2106-3	46	204575	22.5
1999	65-74	18	M	2106-3	32	165267	19.4
1999	65-74	19	F	2106-3	17	114844	14.8 (Unreliable)
1999	65-74	19	M	2106-3	24	95362	25.2
1999	65-74	20	F	2106-3	22	91688	24
1999	65-74	20	M	2106-3	17	76598	22.2 (Unreliable)
1999	65-74	21	F	2106-3	29	142724	20.3
1999	65-74	21	M	2106-3	19	115974	16.4 (Unreliable)
1999	65-74	22	F	2106-3	26	117952	22
1999	65-74	22	M	2106-3	29	96162	30.2
1999	65-74	23	F	2106-3	16	51833	30.9 (Unreliable)
1999	65-74	23	M	2106-3	11	43555	25.3 (Unreliable)
1999	65-74	24	F	2106-3	21	135178	15.5
1999	65-74	24	M	2106-3	24	111373	21.5
1999	65-74	25	F	2106-3	36	226582	15.9
1999	65-74	25	M	2106-3	40	180293	22.2
1999	65-74	26	F	2106-3	62	310177	20
1999	65-74	26	M	2106-3	49	258352	19
1999	65-74	27	F	2106-3	44	154378	28.5
1999	65-74	27	M	2106-3	31	133038	23.3
1999	65-74	28	F	2106-3	21	76625	27.4
1999	65-74	28	M	2106-3	20	62410	32
1999	65-74	29	F	2106-3	28	196087	14.3
1999	65-74	29	M	2106-3	22	164095	13.4
