Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	1-4	6	M	2106-3	26	819090	3.17
1999	1-4	17	M	2106-3	12	276613	4.34 (Unreliable)
1999	1-4	34	M	2106-3	10	173397	5.77 (Unreliable)
1999	1-4	36	M	2106-3	16	366125	4.37 (Unreliable)
1999	1-4	48	M	2106-3	22	546677	4.02
1999	5-9	6	M	2106-3	30	1104781	2.72
1999	5-9	12	M	2106-3	11	397271	2.77 (Unreliable)
1999	5-9	17	M	2106-3	10	361466	2.77 (Unreliable)
1999	5-9	26	M	2106-3	10	296460	3.37 (Unreliable)
1999	5-9	36	M	2106-3	13	492854	2.64 (Unreliable)
1999	5-9	42	M	2106-3	13	357709	3.63 (Unreliable)
1999	5-9	48	M	2106-3	25	691513	3.62
1999	10-14	6	M	2106-3	42	991101	4.24
1999	10-14	12	M	2106-3	13	397241	3.27 (Unreliable)
1999	10-14	36	M	2106-3	12	478793	2.51 (Unreliable)
1999	10-14	39	M	2106-3	10	354814	2.82 (Unreliable)
1999	10-14	42	M	2106-3	11	371032	2.96 (Unreliable)
1999	10-14	48	M	2106-3	18	683493	2.63 (Unreliable)
1999	15-19	6	M	A-PI	11	157068	7.00 (Unreliable)
1999	15-19	6	M	2106-3	43	967872	4.44
1999	15-19	12	M	2106-3	16	383921	4.17 (Unreliable)
1999	15-19	13	M	2106-3	10	195329	5.12 (Unreliable)
1999	15-19	17	M	2106-3	13	360107	3.61 (Unreliable)
1999	15-19	24	M	2106-3	11	112148	9.81 (Unreliable)
1999	15-19	36	M	2054-5	12	138578	8.66 (Unreliable)
1999	15-19	36	M	2106-3	23	471938	4.87
1999	15-19	37	M	2106-3	10	193000	5.18 (Unreliable)
1999	15-19	39	M	2106-3	25	355493	7.03
1999	15-19	42	M	2106-3	21	368570	5.7
1999	15-19	48	M	2106-3	28	698725	4.01
1999	20-24	6	M	A-PI	11	150852	7.29 (Unreliable)
1999	20-24	6	M	2106-3	68	948716	7.17
1999	20-24	12	M	2106-3	20	358684	5.58
1999	20-24	13	M	2106-3	10	198151	5.05 (Unreliable)
1999	20-24	17	M	2054-5	10	67256	14.87 (Unreliable)
1999	20-24	17	M	2106-3	24	337145	7.12
1999	20-24	18	M	2106-3	11	189142	5.82 (Unreliable)
1999	20-24	25	M	2106-3	13	166019	7.83 (Unreliable)
1999	20-24	34	M	2106-3	13	182461	7.12 (Unreliable)
1999	20-24	36	M	2106-3	30	443993	6.76
1999	20-24	37	M	2106-3	10	219558	4.55 (Unreliable)
1999	20-24	39	M	2106-3	20	308022	6.49
1999	20-24	42	M	2106-3	28	314064	8.92
1999	20-24	48	M	2106-3	42	647712	6.48
