Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	25-34	6	F	2106-3	10	1965474	0.5 (Unreliable)
1999	25-34	6	M	2106-3	12	2154953	0.6 (Unreliable)
1999	25-34	17	F	2054-5	10	150733	6.6 (Unreliable)
1999	25-34	17	M	2054-5	13	130949	9.9 (Unreliable)
1999	35-44	6	F	2054-5	14	209867	6.7 (Unreliable)
1999	35-44	6	F	2106-3	43	2093980	2.1
1999	35-44	6	M	2106-3	31	2193874	1.4
1999	35-44	8	F	2106-3	11	336632	3.3 (Unreliable)
1999	35-44	12	F	2106-3	14	998863	1.4 (Unreliable)
1999	35-44	12	M	2106-3	17	1013083	1.7 (Unreliable)
1999	35-44	13	F	2106-3	13	449947	2.9 (Unreliable)
1999	35-44	17	F	2054-5	21	159286	13.2
1999	35-44	17	F	2106-3	12	801902	1.5 (Unreliable)
1999	35-44	17	M	2054-5	12	133734	9.0 (Unreliable)
1999	35-44	17	M	2106-3	13	814083	1.6 (Unreliable)
1999	35-44	18	M	2106-3	11	435152	2.5 (Unreliable)
1999	35-44	26	F	2106-3	14	673010	2.1 (Unreliable)
1999	35-44	26	M	2106-3	11	677568	1.6 (Unreliable)
1999	35-44	29	F	2106-3	13	386928	3.4 (Unreliable)
1999	35-44	36	F	2106-3	27	1155928	2.3
1999	35-44	36	M	2054-5	14	247269	5.7 (Unreliable)
1999	35-44	36	M	2106-3	25	1148716	2.2
1999	35-44	39	M	2106-3	17	787792	2.2 (Unreliable)
1999	35-44	42	M	2106-3	12	855660	1.4 (Unreliable)
1999	35-44	47	F	2106-3	11	371282	3.0 (Unreliable)
1999	35-44	47	M	2106-3	13	367612	3.5 (Unreliable)
1999	35-44	48	F	2106-3	28	1367474	2
1999	35-44	48	M	2106-3	13	1398953	0.9 (Unreliable)
1999	35-44	53	F	2106-3	10	428726	2.3 (Unreliable)
1999	45-54	1	F	2106-3	21	224926	9.3
1999	45-54	1	M	2106-3	31	220012	14.1
1999	45-54	4	F	2106-3	24	279577	8.6
1999	45-54	4	M	2106-3	31	269979	11.5
1999	45-54	5	F	2106-3	15	147206	10.2 (Unreliable)
1999	45-54	5	M	2106-3	26	143137	18.2
1999	45-54	6	F	2054-5	24	146717	16.4
1999	45-54	6	F	2106-3	148	1667026	8.9
1999	45-54	6	M	2054-5	29	133945	21.7
1999	45-54	6	M	2106-3	129	1656987	7.8
1999	45-54	8	F	2106-3	22	276456	8
1999	45-54	8	M	2106-3	22	279042	7.9
1999	45-54	9	F	2106-3	16	214934	7.4 (Unreliable)
1999	45-54	12	F	2054-5	12	137206	8.7 (Unreliable)
1999	45-54	12	F	2106-3	81	860273	9.4
1999	45-54	12	M	2054-5	24	121182	19.8
1999	45-54	12	M	2106-3	76	823537	9.2
1999	45-54	13	F	2054-5	10	142401	7.0 (Unreliable)
1999	45-54	13	F	2106-3	41	382622	10.7
1999	45-54	13	M	2054-5	21	119625	17.6
1999	45-54	13	M	2106-3	32	377774	8.5
1999	45-54	17	F	2054-5	19	118667	16.0 (Unreliable)
1999	45-54	17	F	2106-3	35	656173	5.3
1999	45-54	17	M	2054-5	24	94314	25.4
1999	45-54	17	M	2106-3	50	651333	7.7
1999	45-54	18	F	2106-3	22	367103	6
1999	45-54	18	M	2106-3	39	362712	10.8
1999	45-54	19	F	2106-3	16	185410	8.6 (Unreliable)
1999	45-54	19	M	2106-3	13	187089	6.9 (Unreliable)
1999	45-54	20	F	2106-3	10	158953	6.3 (Unreliable)
1999	45-54	20	M	2106-3	17	160325	10.6 (Unreliable)
1999	45-54	21	F	2106-3	27	255444	10.6
1999	45-54	21	M	2106-3	32	248142	12.9
1999	45-54	22	F	2106-3	14	199382	7.0 (Unreliable)
1999	45-54	22	M	2054-5	12	74409	16.1 (Unreliable)
1999	45-54	22	M	2106-3	16	197713	8.1 (Unreliable)
1999	45-54	24	F	2106-3	20	258947	7.7
1999	45-54	24	M	2106-3	21	253287	8.3
1999	45-54	25	F	2106-3	33	399808	8.3
1999	45-54	25	M	2106-3	21	378766	5.5
1999	45-54	26	F	2054-5	19	92712	20.5 (Unreliable)
1999	45-54	26	F	2106-3	63	566131	11.1
1999	45-54	26	M	2054-5	18	77741	23.2 (Unreliable)
1999	45-54	26	M	2106-3	43	564986	7.6
1999	45-54	27	F	2106-3	19	304543	6.2 (Unreliable)
1999	45-54	27	M	2106-3	11	306744	3.6 (Unreliable)
1999	45-54	28	M	2106-3	10	118551	8.4 (Unreliable)
1999	45-54	29	F	2106-3	38	324783	11.7
1999	45-54	29	M	2106-3	35	315286	11.1
1999	45-54	31	M	2106-3	10	104369	9.6 (Unreliable)
1999	45-54	32	F	2106-3	12	108849	11.0 (Unreliable)
1999	45-54	32	M	2106-3	15	114117	13.1 (Unreliable)
1999	45-54	33	F	2106-3	14	86966	16.1 (Unreliable)
1999	45-54	34	F	2054-5	11	78076	14.1 (Unreliable)
1999	45-54	34	F	2106-3	19	470025	4.0 (Unreliable)
1999	45-54	34	M	2106-3	28	451192	6.2
1999	45-54	36	F	2054-5	25	219892	11.4
1999	45-54	36	F	2106-3	66	995847	6.6
1999	45-54	36	M	2054-5	18	172067	10.5 (Unreliable)
1999	45-54	36	M	2106-3	69	946618	7.3
1999	45-54	37	F	2054-5	11	112362	9.8 (Unreliable)
1999	45-54	37	F	2106-3	30	416499	7.2
1999	45-54	37	M	2054-5	12	96062	12.5 (Unreliable)
1999	45-54	37	M	2106-3	36	405344	8.9
1999	45-54	39	F	2054-5	16	81306	19.7 (Unreliable)
1999	45-54	39	F	2106-3	54	684403	7.9
1999	45-54	39	M	2106-3	62	668352	9.3
1999	45-54	40	F	2106-3	21	189946	11.1
1999	45-54	40	M	2106-3	24	185698	12.9
1999	45-54	41	F	2106-3	24	234776	10.2
1999	45-54	41	M	2106-3	17	233209	7.3 (Unreliable)
1999	45-54	42	F	2106-3	53	750604	7.1
1999	45-54	42	M	2054-5	12	65467	18.3 (Unreliable)
1999	45-54	42	M	2106-3	48	734941	6.5
1999	45-54	45	F	2106-3	26	194400	13.4
1999	45-54	45	M	2106-3	19	189072	10.0 (Unreliable)
1999	45-54	47	F	2106-3	46	329656	14
1999	45-54	47	M	2106-3	41	321822	12.7
1999	45-54	48	F	2054-5	18	143304	12.6 (Unreliable)
1999	45-54	48	F	2106-3	76	1084594	7
1999	45-54	48	M	2054-5	17	128599	13.2 (Unreliable)
1999	45-54	48	M	2106-3	74	1071753	6.9
1999	45-54	49	M	2106-3	10	109982	9.1 (Unreliable)
1999	45-54	51	F	2054-5	14	87860	15.9 (Unreliable)
1999	45-54	51	F	2106-3	32	387385	8.3
1999	45-54	51	M	2106-3	18	379070	4.7 (Unreliable)
1999	45-54	53	F	2106-3	32	370605	8.6
1999	45-54	53	M	2106-3	21	370274	5.7
1999	45-54	54	F	2106-3	11	128322	8.6 (Unreliable)
1999	45-54	54	M	2106-3	10	126881	7.9 (Unreliable)
1999	45-54	55	F	2106-3	12	330549	3.6 (Unreliable)
1999	45-54	55	M	2106-3	15	337048	4.5 (Unreliable)
1999	55-64	1	F	2054-5	12	42806	28.0 (Unreliable)
1999	55-64	1	F	2106-3	100	171646	58.3
1999	55-64	1	M	2054-5	20	33473	59.7
1999	55-64	1	M	2106-3	119	158860	74.9
1999	55-64	2	M	2106-3	11	18857	58.3 (Unreliable)
1999	55-64	4	F	2106-3	90	207334	43.4
1999	55-64	4	M	2106-3	115	188927	60.9
1999	55-64	5	F	2106-3	49	116130	42.2
1999	55-64	5	M	2106-3	72	107914	66.7
1999	55-64	6	F	A-PI	16	163350	9.8 (Unreliable)
1999	55-64	6	F	2054-5	42	90167	46.6
1999	55-64	6	F	2106-3	492	1052587	46.7
1999	55-64	6	M	A-PI	23	139937	16.4
1999	55-64	6	M	2054-5	54	79078	68.3
1999	55-64	6	M	2106-3	496	991258	50
1999	55-64	8	F	2106-3	84	157045	53.5
1999	55-64	8	M	2106-3	72	152649	47.2
1999	55-64	9	F	2106-3	29	141410	20.5
1999	55-64	9	M	2106-3	44	132087	33.3
1999	55-64	10	F	2106-3	10	30481	32.8 (Unreliable)
1999	55-64	10	M	2106-3	14	27837	50.3 (Unreliable)
1999	55-64	12	F	2054-5	19	82696	23.0 (Unreliable)
1999	55-64	12	F	2106-3	334	703522	47.5
1999	55-64	12	M	2054-5	49	70080	69.9
1999	55-64	12	M	2106-3	334	626593	53.3
1999	55-64	13	F	2054-5	27	75255	35.9
1999	55-64	13	F	2106-3	139	253060	54.9
1999	55-64	13	M	2054-5	41	59768	68.6
1999	55-64	13	M	2106-3	166	242865	68.4
1999	55-64	16	F	2106-3	29	51365	56.5
1999	55-64	16	M	2106-3	22	51325	42.9
1999	55-64	17	F	2054-5	25	76613	32.6
1999	55-64	17	F	2106-3	180	442395	40.7
1999	55-64	17	M	2054-5	42	59468	70.6
1999	55-64	17	M	2106-3	215	414563	51.9
1999	55-64	18	F	2106-3	153	249334	61.4
1999	55-64	18	M	2106-3	129	234758	55
1999	55-64	19	F	2106-3	60	128797	46.6
1999	55-64	19	M	2106-3	63	121671	51.8
1999	55-64	20	F	2106-3	62	104600	59.3
1999	55-64	20	M	2106-3	69	99340	69.5
1999	55-64	21	F	2106-3	129	178515	72.3
1999	55-64	21	M	2106-3	156	166457	93.7
1999	55-64	22	F	2054-5	18	52857	34.1 (Unreliable)
1999	55-64	22	F	2106-3	64	141112	45.4
1999	55-64	22	M	2054-5	26	41688	62.4
1999	55-64	22	M	2106-3	56	132129	42.4
1999	55-64	23	F	2106-3	18	60651	29.7 (Unreliable)
1999	55-64	23	M	2106-3	38	57948	65.6
1999	55-64	24	F	2054-5	14	59413	23.6 (Unreliable)
1999	55-64	24	F	2106-3	71	169450	41.9
1999	55-64	24	M	2054-5	15	48229	31.1 (Unreliable)
1999	55-64	24	M	2106-3	50	161830	30.9
1999	55-64	25	F	2106-3	91	258680	35.2
1999	55-64	25	M	2106-3	90	236489	38.1
1999	55-64	26	F	2054-5	31	51962	59.7
1999	55-64	26	F	2106-3	174	378211	46
1999	55-64	26	M	2054-5	24	42058	57.1
1999	55-64	26	M	2106-3	175	362270	48.3
1999	55-64	27	F	2106-3	76	193513	39.3
1999	55-64	27	M	2106-3	68	187156	36.3
1999	55-64	28	F	2054-5	16	34541	46.3 (Unreliable)
1999	55-64	28	F	2106-3	43	92140	46.7
1999	55-64	28	M	2106-3	61	86635	70.4
1999	55-64	29	F	2106-3	149	233134	63.9
1999	55-64	29	M	2106-3	134	217813	61.5
1999	55-64	30	F	2106-3	23	39436	58.3
1999	55-64	30	M	2106-3	29	40009	72.5
1999	55-64	31	F	2106-3	33	68771	48
1999	55-64	31	M	2106-3	25	65700	38.1
1999	55-64	32	F	2106-3	53	79013	67.1
1999	55-64	32	M	2106-3	63	81938	76.9
1999	55-64	33	F	2106-3	22	52600	41.8
1999	55-64	33	M	2106-3	23	51659	44.5
1999	55-64	34	F	2054-5	20	52456	38.1
1999	55-64	34	F	2106-3	99	317405	31.2
1999	55-64	34	M	2054-5	25	40830	61.2
1999	55-64	34	M	2106-3	92	292869	31.4
1999	55-64	35	F	2106-3	37	72955	50.7
1999	55-64	35	M	2106-3	41	68021	60.3
1999	55-64	36	F	2054-5	37	152022	24.3
1999	55-64	36	F	2106-3	239	691023	34.6
1999	55-64	36	M	A-PI	11	40794	27.0 (Unreliable)
1999	55-64	36	M	2054-5	56	109354	51.2
1999	55-64	36	M	2106-3	266	622646	42.7
1999	55-64	37	F	2054-5	21	65185	32.2
1999	55-64	37	F	2106-3	158	300197	52.6
1999	55-64	37	M	2054-5	33	52637	62.7
1999	55-64	37	M	2106-3	175	278389	62.9
1999	55-64	38	M	2106-3	17	25450	66.8 (Unreliable)
1999	55-64	39	F	2054-5	14	51946	27.0 (Unreliable)
1999	55-64	39	F	2106-3	228	467264	48.8
1999	55-64	39	M	2054-5	26	41058	63.3
1999	55-64	39	M	2106-3	251	430556	58.3
1999	55-64	40	F	2106-3	83	140900	58.9
1999	55-64	40	M	2106-3	75	131440	57.1
1999	55-64	41	F	2106-3	77	143497	53.7
1999	55-64	41	M	2106-3	67	138738	48.3
1999	55-64	42	F	2054-5	31	51088	60.7
1999	55-64	42	F	2106-3	197	528079	37.3
1999	55-64	42	M	2054-5	32	39119	81.8
1999	55-64	42	M	2106-3	235	485584	48.4
1999	55-64	44	F	2106-3	14	42948	32.6 (Unreliable)
1999	55-64	44	M	2106-3	15	39042	38.4 (Unreliable)
1999	55-64	45	F	2054-5	14	44940	31.2 (Unreliable)
1999	55-64	45	F	2106-3	72	143505	50.2
1999	55-64	45	M	2054-5	32	36000	88.9
1999	55-64	45	M	2106-3	102	135056	75.5
1999	55-64	46	M	2106-3	13	28673	45.3 (Unreliable)
1999	55-64	47	F	2054-5	12	32493	36.9 (Unreliable)
1999	55-64	47	F	2106-3	109	238023	45.8
1999	55-64	47	M	2054-5	13	24895	52.2 (Unreliable)
1999	55-64	47	M	2106-3	190	223529	85
1999	55-64	48	F	2054-5	36	80194	44.9
1999	55-64	48	F	2106-3	312	703171	44.4
1999	55-64	48	M	2054-5	41	66653	61.5
1999	55-64	48	M	2106-3	360	661727	54.4
1999	55-64	49	F	2106-3	27	69130	39.1
1999	55-64	49	M	2106-3	44	65856	66.8
1999	55-64	50	M	2106-3	11	26983	40.8 (Unreliable)
1999	55-64	51	F	2054-5	20	52786	37.9
1999	55-64	51	F	2106-3	112	253357	44.2
1999	55-64	51	M	2054-5	19	43543	43.6 (Unreliable)
1999	55-64	51	M	2106-3	117	243999	48
