Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	25-34	6	F	2106-3	16	1965474	0.8 (Unreliable)
1999	25-34	6	M	2106-3	26	2154953	1.2
1999	25-34	12	M	2106-3	15	852204	1.8 (Unreliable)
1999	25-34	34	M	2106-3	10	458573	2.2 (Unreliable)
1999	25-34	36	M	2054-5	10	243118	4.1 (Unreliable)
1999	25-34	36	M	2106-3	14	1018155	1.4 (Unreliable)
1999	25-34	42	M	2106-3	14	677463	2.1 (Unreliable)
1999	25-34	48	M	2054-5	10	188905	5.3 (Unreliable)
1999	25-34	48	M	2106-3	16	1332460	1.2 (Unreliable)
1999	35-44	1	F	2054-5	12	96322	12.5 (Unreliable)
1999	35-44	1	M	2054-5	16	79364	20.2 (Unreliable)
1999	35-44	1	M	2106-3	20	251701	7.9
1999	35-44	4	M	2106-3	13	342180	3.8 (Unreliable)
1999	35-44	6	F	2054-5	20	209867	9.5
1999	35-44	6	F	2106-3	64	2093980	3.1
1999	35-44	6	M	2054-5	18	205060	8.8 (Unreliable)
1999	35-44	6	M	2106-3	82	2193874	3.7
1999	35-44	8	M	2106-3	10	343554	2.9 (Unreliable)
1999	35-44	9	F	2106-3	11	257331	4.3 (Unreliable)
1999	35-44	12	F	2054-5	13	199324	6.5 (Unreliable)
1999	35-44	12	F	2106-3	36	998863	3.6
1999	35-44	12	M	2054-5	15	180041	8.3 (Unreliable)
1999	35-44	12	M	2106-3	34	1013083	3.4
1999	35-44	13	F	2054-5	13	206598	6.3 (Unreliable)
1999	35-44	13	F	2106-3	11	449947	2.4 (Unreliable)
1999	35-44	13	M	2054-5	17	177737	9.6 (Unreliable)
1999	35-44	13	M	2106-3	15	465113	3.2 (Unreliable)
1999	35-44	17	F	2054-5	11	159286	6.9 (Unreliable)
1999	35-44	17	F	2106-3	29	801902	3.6
1999	35-44	17	M	2054-5	13	133734	9.7 (Unreliable)
1999	35-44	17	M	2106-3	32	814083	3.9
1999	35-44	18	F	2106-3	13	434546	3.0 (Unreliable)
1999	35-44	18	M	2106-3	24	435152	5.5
1999	35-44	19	M	2106-3	10	216669	4.6 (Unreliable)
1999	35-44	20	M	2106-3	14	193341	7.2 (Unreliable)
1999	35-44	21	F	2106-3	15	296513	5.1 (Unreliable)
1999	35-44	21	M	2106-3	15	290492	5.2 (Unreliable)
1999	35-44	22	F	2054-5	18	116644	15.4 (Unreliable)
1999	35-44	22	M	2054-5	16	98273	16.3 (Unreliable)
1999	35-44	22	M	2106-3	11	234319	4.7 (Unreliable)
1999	35-44	24	F	2054-5	10	142272	7.0 (Unreliable)
1999	35-44	24	M	2054-5	10	119217	8.4 (Unreliable)
1999	35-44	24	M	2106-3	14	302300	4.6 (Unreliable)
1999	35-44	25	F	2106-3	13	480813	2.7 (Unreliable)
1999	35-44	25	M	2106-3	14	465996	3.0 (Unreliable)
1999	35-44	26	F	2106-3	21	673010	3.1
1999	35-44	26	M	2054-5	16	98477	16.2 (Unreliable)
1999	35-44	26	M	2106-3	40	677568	5.9
1999	35-44	27	M	2106-3	13	385748	3.4 (Unreliable)
1999	35-44	29	F	2106-3	16	386928	4.1 (Unreliable)
1999	35-44	29	M	2106-3	21	385875	5.4
1999	35-44	34	F	2106-3	13	568115	2.3 (Unreliable)
1999	35-44	34	M	2054-5	12	93932	12.8 (Unreliable)
1999	35-44	34	M	2106-3	26	564199	4.6
1999	35-44	36	F	2054-5	19	296913	6.4 (Unreliable)
1999	35-44	36	F	2106-3	24	1155928	2.1
1999	35-44	36	M	2054-5	23	247269	9.3
1999	35-44	36	M	2106-3	33	1148716	2.9
1999	35-44	37	F	2054-5	11	149850	7.3 (Unreliable)
1999	35-44	37	F	2106-3	13	477914	2.7 (Unreliable)
1999	35-44	37	M	2054-5	18	129517	13.9 (Unreliable)
1999	35-44	37	M	2106-3	29	486669	6
1999	35-44	39	F	2054-5	11	110036	10.0 (Unreliable)
1999	35-44	39	F	2106-3	23	796180	2.9
1999	35-44	39	M	2106-3	38	787792	4.8
1999	35-44	40	F	2106-3	14	216761	6.5 (Unreliable)
1999	35-44	42	F	2106-3	18	866437	2.1 (Unreliable)
1999	35-44	42	M	2106-3	45	855660	5.3
1999	35-44	45	F	2106-3	14	214114	6.5 (Unreliable)
1999	35-44	45	M	2106-3	12	216747	5.5 (Unreliable)
1999	35-44	47	M	2054-5	13	67421	19.3 (Unreliable)
1999	35-44	47	M	2106-3	22	367612	6
1999	35-44	48	F	2054-5	14	211175	6.6 (Unreliable)
1999	35-44	48	F	2106-3	57	1367474	4.2
1999	35-44	48	M	2054-5	13	194964	6.7 (Unreliable)
1999	35-44	48	M	2106-3	73	1398953	5.2
1999	35-44	49	F	2106-3	12	140434	8.5 (Unreliable)
1999	35-44	51	F	2106-3	12	447263	2.7 (Unreliable)
1999	35-44	51	M	2106-3	20	450314	4.4
1999	35-44	53	M	2106-3	19	436053	4.4 (Unreliable)
1999	35-44	54	M	2106-3	16	129888	12.3 (Unreliable)
1999	35-44	55	F	2106-3	11	403220	2.7 (Unreliable)
1999	35-44	55	M	2106-3	17	409441	4.2 (Unreliable)
1999	45-54	1	F	2054-5	30	72132	41.6
1999	45-54	1	F	2106-3	23	224926	10.2
1999	45-54	1	M	2054-5	22	60978	36.1
1999	45-54	1	M	2106-3	34	220012	15.5
1999	45-54	4	F	2106-3	24	279577	8.6
1999	45-54	4	M	2106-3	46	269979	17
1999	45-54	5	F	2054-5	11	23710	46.4 (Unreliable)
1999	45-54	5	F	2106-3	13	147206	8.8 (Unreliable)
1999	45-54	5	M	2054-5	12	21034	57.1 (Unreliable)
1999	45-54	5	M	2106-3	21	143137	14.7
1999	45-54	6	F	A-PI	17	284842	6.0 (Unreliable)
1999	45-54	6	F	2054-5	47	146717	32
1999	45-54	6	F	2106-3	145	1667026	8.7
1999	45-54	6	M	2054-5	39	133945	29.1
1999	45-54	6	M	2106-3	204	1656987	12.3
1999	45-54	8	F	2106-3	10	276456	3.6 (Unreliable)
1999	45-54	8	M	2106-3	22	279042	7.9
1999	45-54	9	F	2106-3	19	214934	8.8 (Unreliable)
1999	45-54	9	M	2106-3	20	206532	9.7
1999	45-54	11	F	2054-5	12	24975	48.0 (Unreliable)
1999	45-54	12	F	2054-5	42	137206	30.6
1999	45-54	12	F	2106-3	91	860273	10.6
1999	45-54	12	M	2054-5	41	121182	33.8
1999	45-54	12	M	2106-3	137	823537	16.6
1999	45-54	13	F	2054-5	33	142401	23.2
1999	45-54	13	F	2106-3	25	382622	6.5
1999	45-54	13	M	2054-5	22	119625	18.4
1999	45-54	13	M	2106-3	43	377774	11.4
1999	45-54	16	M	2106-3	13	80892	16.1 (Unreliable)
1999	45-54	17	F	2054-5	25	118667	21.1
1999	45-54	17	F	2106-3	40	656173	6.1
1999	45-54	17	M	2054-5	29	94314	30.7
1999	45-54	17	M	2106-3	88	651333	13.5
1999	45-54	18	F	2106-3	34	367103	9.3
1999	45-54	18	M	2106-3	64	362712	17.6
1999	45-54	19	F	2106-3	11	185410	5.9 (Unreliable)
1999	45-54	19	M	2106-3	21	187089	11.2
1999	45-54	20	F	2106-3	18	158953	11.3 (Unreliable)
1999	45-54	20	M	2106-3	12	160325	7.5 (Unreliable)
1999	45-54	21	F	2106-3	38	255444	14.9
1999	45-54	21	M	2106-3	41	248142	16.5
1999	45-54	22	F	2054-5	47	88585	53.1
1999	45-54	22	F	2106-3	21	199382	10.5
1999	45-54	22	M	2054-5	43	74409	57.8
1999	45-54	22	M	2106-3	42	197713	21.2
1999	45-54	23	M	2106-3	12	91341	13.1 (Unreliable)
1999	45-54	24	F	2054-5	18	105085	17.1 (Unreliable)
1999	45-54	24	F	2106-3	17	258947	6.6 (Unreliable)
1999	45-54	24	M	2054-5	42	84389	49.8
1999	45-54	24	M	2106-3	25	253287	9.9
1999	45-54	25	F	2106-3	22	399808	5.5
1999	45-54	25	M	2106-3	53	378766	14
1999	45-54	26	F	2054-5	17	92712	18.3 (Unreliable)
1999	45-54	26	F	2106-3	57	566131	10.1
1999	45-54	26	M	2054-5	23	77741	29.6
1999	45-54	26	M	2106-3	80	564986	14.2
1999	45-54	27	F	2106-3	19	304543	6.2 (Unreliable)
1999	45-54	27	M	2106-3	40	306744	13
1999	45-54	28	F	2054-5	10	58313	17.1 (Unreliable)
1999	45-54	28	M	2054-5	13	50393	25.8 (Unreliable)
