Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	1	4	M	2106-3	10	34008	29.40 (Unreliable)
1999	1	6	M	2106-3	13	198432	6.55 (Unreliable)
1999	1	48	M	2106-3	15	142655	10.51 (Unreliable)
1999	25-34	48	M	2106-3	13	1332460	0.98 (Unreliable)
1999	35-44	4	M	2106-3	14	342180	4.09 (Unreliable)
1999	35-44	6	M	2106-3	19	2193874	0.87 (Unreliable)
1999	35-44	12	M	2054-5	18	180041	10.00 (Unreliable)
1999	35-44	12	M	2106-3	23	1013083	2.27
1999	35-44	13	M	2106-3	17	465113	3.66 (Unreliable)
1999	35-44	17	M	2054-5	21	133734	15.7
1999	35-44	17	M	2106-3	18	814083	2.21 (Unreliable)
1999	35-44	18	M	2106-3	13	435152	2.99 (Unreliable)
1999	35-44	26	M	2106-3	21	677568	3.1
1999	35-44	29	M	2106-3	10	385875	2.59 (Unreliable)
1999	35-44	34	M	2106-3	15	564199	2.66 (Unreliable)
1999	35-44	36	M	2054-5	16	247269	6.47 (Unreliable)
1999	35-44	36	M	2106-3	19	1148716	1.65 (Unreliable)
1999	35-44	37	M	2106-3	13	486669	2.67 (Unreliable)
1999	35-44	39	M	2106-3	12	787792	1.52 (Unreliable)
1999	35-44	42	M	2106-3	22	855660	2.57
1999	35-44	48	M	2054-5	12	194964	6.15 (Unreliable)
1999	35-44	48	M	2106-3	42	1398953	3
1999	35-44	51	M	2106-3	12	450314	2.66 (Unreliable)
1999	35-44	53	M	2106-3	10	436053	2.29 (Unreliable)
1999	45-54	1	M	2106-3	16	220012	7.27 (Unreliable)
1999	45-54	4	M	2106-3	25	269979	9.26
1999	45-54	6	M	2106-3	41	1656987	2.47
1999	45-54	8	M	2106-3	10	279042	3.58 (Unreliable)
1999	45-54	9	M	2106-3	10	206532	4.84 (Unreliable)
1999	45-54	12	M	2054-5	15	121182	12.38 (Unreliable)
1999	45-54	12	M	2106-3	48	823537	5.83
1999	45-54	13	M	2054-5	10	119625	8.36 (Unreliable)
1999	45-54	13	M	2106-3	22	377774	5.82
1999	45-54	17	M	2054-5	28	94314	29.69
1999	45-54	17	M	2106-3	40	651333	6.14
1999	45-54	18	M	2106-3	20	362712	5.51
1999	45-54	19	M	2106-3	10	187089	5.35 (Unreliable)
1999	45-54	20	M	2106-3	13	160325	8.11 (Unreliable)
1999	45-54	21	M	2106-3	14	248142	5.64 (Unreliable)
1999	45-54	22	M	2054-5	13	74409	17.47 (Unreliable)
1999	45-54	24	M	2106-3	14	253287	5.53 (Unreliable)
1999	45-54	25	M	2106-3	18	378766	4.75 (Unreliable)
1999	45-54	26	M	2054-5	22	77741	28.3
1999	45-54	26	M	2106-3	29	564986	5.13
1999	45-54	29	M	2106-3	16	315286	5.07 (Unreliable)
1999	45-54	34	M	2054-5	13	62701	20.73 (Unreliable)
1999	45-54	34	M	2106-3	25	451192	5.54
1999	45-54	36	M	2054-5	36	172067	20.92
1999	45-54	36	M	2106-3	60	946618	6.34
1999	45-54	37	M	2054-5	24	96062	24.98
1999	45-54	37	M	2106-3	14	405344	3.45 (Unreliable)
1999	45-54	39	M	2054-5	10	69345	14.42 (Unreliable)
1999	45-54	39	M	2106-3	25	668352	3.74
1999	45-54	40	M	2106-3	13	185698	7.00 (Unreliable)
1999	45-54	41	M	2106-3	13	233209	5.57 (Unreliable)
1999	45-54	42	M	2054-5	11	65467	16.80 (Unreliable)
1999	45-54	42	M	2106-3	33	734941	4.49
1999	45-54	45	M	2054-5	10	66029	15.14 (Unreliable)
