Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	1	6	F	2106-3	25	188711	13.2
1999	1	12	F	2106-3	10	68767	14.5 (Unreliable)
1999	1	17	F	2106-3	15	65421	22.9 (Unreliable)
1999	1	39	F	2106-3	13	59558	21.8 (Unreliable)
1999	1	42	F	2106-3	10	56962	17.6 (Unreliable)
1999	1	48	F	2106-3	19	136298	13.9 (Unreliable)
1999	15-19	6	F	2106-3	10	889540	1.1 (Unreliable)
1999	15-19	48	F	2106-3	19	647570	2.9 (Unreliable)
1999	20-24	6	F	2106-3	25	842583	3
1999	20-24	12	F	2106-3	12	332596	3.6 (Unreliable)
1999	20-24	17	F	2106-3	14	315530	4.4 (Unreliable)
1999	20-24	42	F	2106-3	10	311274	3.2 (Unreliable)
1999	20-24	48	F	2106-3	22	600202	3.7
1999	25-34	1	F	2054-5	18	87542	20.6 (Unreliable)
1999	25-34	1	F	2106-3	27	215681	12.5
1999	25-34	4	F	2106-3	19	309150	6.1 (Unreliable)
1999	25-34	5	F	2106-3	10	140744	7.1 (Unreliable)
1999	25-34	6	F	2054-5	34	195315	17.4
1999	25-34	6	F	2106-3	99	1965474	5
1999	25-34	8	F	2106-3	13	283142	4.6 (Unreliable)
1999	25-34	12	F	2054-5	32	188716	17
1999	25-34	12	F	2106-3	46	812689	5.7
1999	25-34	13	F	2054-5	29	205764	14.1
1999	25-34	13	F	2106-3	26	415411	6.3
1999	25-34	17	F	2054-5	39	150733	25.9
1999	25-34	17	F	2106-3	39	705815	5.5
1999	25-34	18	F	2106-3	28	367052	7.6
1999	25-34	21	F	2106-3	23	257965	8.9
1999	25-34	22	F	2054-5	25	106435	23.5
1999	25-34	22	F	2106-3	18	196701	9.2 (Unreliable)
1999	25-34	24	F	2054-5	22	129488	17
1999	25-34	24	F	2106-3	15	241255	6.2 (Unreliable)
1999	25-34	25	F	2106-3	26	418598	6.2
1999	25-34	26	F	2054-5	24	118348	20.3
1999	25-34	26	F	2106-3	31	544349	5.7
1999	25-34	27	F	2106-3	14	299933	4.7 (Unreliable)
1999	25-34	28	F	2054-5	19	78189	24.3 (Unreliable)
1999	25-34	29	F	2106-3	28	314379	8.9
1999	25-34	34	F	2054-5	12	103555	11.6 (Unreliable)
1999	25-34	34	F	2106-3	19	450467	4.2 (Unreliable)
1999	25-34	36	F	2054-5	33	289569	11.4
1999	25-34	36	F	2106-3	50	1013805	4.9
1999	25-34	37	F	2054-5	26	143430	18.1
1999	25-34	37	F	2106-3	24	436537	5.5
1999	25-34	39	F	2054-5	17	100381	16.9 (Unreliable)
1999	25-34	39	F	2106-3	55	655707	8.4
1999	25-34	40	F	2106-3	17	176980	9.6 (Unreliable)
1999	25-34	41	F	2106-3	14	205590	6.8 (Unreliable)
1999	25-34	42	F	2054-5	13	95774	13.6 (Unreliable)
1999	25-34	42	F	2106-3	36	679965	5.3
1999	25-34	45	F	2054-5	14	90094	15.5 (Unreliable)
1999	25-34	45	F	2106-3	13	189625	6.9 (Unreliable)
1999	25-34	47	F	2054-5	16	75831	21.1 (Unreliable)
1999	25-34	47	F	2106-3	23	327689	7
1999	25-34	48	F	2054-5	33	202958	16.3
1999	25-34	48	F	2106-3	75	1271117	5.9
1999	25-34	51	F	2054-5	19	112072	17.0 (Unreliable)
1999	25-34	51	F	2106-3	23	380443	6
1999	25-34	53	F	2106-3	21	351921	6
1999	25-34	55	F	2106-3	15	314911	4.8 (Unreliable)
1999	35-44	1	F	2054-5	80	96322	83.1
1999	35-44	1	F	2106-3	84	249564	33.7
1999	35-44	4	F	2106-3	60	333472	18
1999	35-44	5	F	2054-5	21	33336	63
1999	35-44	5	F	2106-3	42	162907	25.8
1999	35-44	6	F	A-PI	35	360822	9.7
1999	35-44	6	F	2054-5	107	209867	51
1999	35-44	6	F	2106-3	375	2093980	17.9
1999	35-44	8	F	2106-3	53	336632	15.7
1999	35-44	9	F	2054-5	16	28854	55.5 (Unreliable)
1999	35-44	9	F	2106-3	28	257331	10.9
1999	35-44	10	F	2054-5	16	13471	118.8 (Unreliable)
1999	35-44	11	F	2054-5	23	29178	78.8
1999	35-44	12	F	2054-5	144	199324	72.2
1999	35-44	12	F	2106-3	168	998863	16.8
1999	35-44	13	F	2054-5	137	206598	66.3
1999	35-44	13	F	2106-3	109	449947	24.2
1999	35-44	15	F	A-PI	10	64302	15.6 (Unreliable)
1999	35-44	16	F	2106-3	19	92981	20.4 (Unreliable)
1999	35-44	17	F	2054-5	127	159286	79.7
1999	35-44	17	F	2106-3	146	801902	18.2
1999	35-44	18	F	2054-5	27	41920	64.4
1999	35-44	18	F	2106-3	87	434546	20
1999	35-44	19	F	2106-3	52	216763	24
1999	35-44	20	F	2106-3	38	192796	19.7
1999	35-44	21	F	2054-5	15	24828	60.4 (Unreliable)
1999	35-44	21	F	2106-3	111	296513	37.4
1999	35-44	22	F	2054-5	71	116644	60.9
1999	35-44	22	F	2106-3	68	233340	29.1
1999	35-44	23	F	2106-3	12	106960	11.2 (Unreliable)
1999	35-44	24	F	2054-5	83	142272	58.3
1999	35-44	24	F	2106-3	44	304611	14.4
1999	35-44	25	F	2054-5	14	35045	39.9 (Unreliable)
1999	35-44	25	F	2106-3	72	480813	15
1999	35-44	26	F	2054-5	85	115597	73.5
1999	35-44	26	F	2106-3	158	673010	23.5
1999	35-44	27	F	2106-3	60	381344	15.7
1999	35-44	28	F	2054-5	94	82443	114
1999	35-44	28	F	2106-3	45	133649	33.7
1999	35-44	29	F	2054-5	40	53013	75.5
1999	35-44	29	F	2106-3	101	386928	26.1
1999	35-44	31	F	2106-3	23	124184	18.5
1999	35-44	32	F	2106-3	33	127485	25.9
1999	35-44	33	F	2106-3	16	108622	14.7 (Unreliable)
