Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	1	6	M	2106-3	24	198432	12.1
1999	1	12	M	2106-3	12	72248	16.6 (Unreliable)
1999	1	17	M	2054-5	10	16094	62.1 (Unreliable)
1999	1	17	M	2106-3	16	68706	23.3 (Unreliable)
1999	1	26	M	2106-3	11	52266	21.0 (Unreliable)
1999	1	36	M	2106-3	13	89178	14.6 (Unreliable)
1999	1	42	M	2106-3	11	59608	18.5 (Unreliable)
1999	1	48	M	2054-5	10	21073	47.5 (Unreliable)
1999	1	48	M	2106-3	21	142655	14.7
1999	1-4	6	M	2106-3	10	819090	1.2 (Unreliable)
1999	10-14	48	M	2106-3	11	683493	1.6 (Unreliable)
1999	15-19	6	M	2106-3	29	967872	3
1999	15-19	12	M	2106-3	10	383921	2.6 (Unreliable)
1999	15-19	13	M	2054-5	12	102312	11.7 (Unreliable)
1999	15-19	17	M	2106-3	13	360107	3.6 (Unreliable)
1999	15-19	36	M	2106-3	12	471938	2.5 (Unreliable)
1999	15-19	37	M	2106-3	10	193000	5.2 (Unreliable)
1999	15-19	48	M	2106-3	21	698725	3
1999	20-24	6	M	2106-3	26	948716	2.7
1999	20-24	12	M	2054-5	11	90793	12.1 (Unreliable)
1999	20-24	12	M	2106-3	10	358684	2.8 (Unreliable)
1999	20-24	13	M	2106-3	10	198151	5.0 (Unreliable)
1999	20-24	17	M	2054-5	10	67256	14.9 (Unreliable)
1999	20-24	17	M	2106-3	14	337145	4.2 (Unreliable)
1999	20-24	18	M	2106-3	13	189142	6.9 (Unreliable)
1999	20-24	25	M	2106-3	10	166019	6.0 (Unreliable)
1999	20-24	36	M	2054-5	12	120443	10.0 (Unreliable)
1999	20-24	36	M	2106-3	14	443993	3.2 (Unreliable)
1999	20-24	37	M	2054-5	10	66019	15.1 (Unreliable)
1999	20-24	37	M	2106-3	10	219558	4.6 (Unreliable)
1999	20-24	39	M	2106-3	13	308022	4.2 (Unreliable)
1999	20-24	42	M	2106-3	14	314064	4.5 (Unreliable)
1999	20-24	48	M	2054-5	14	93152	15.0 (Unreliable)
1999	20-24	48	M	2106-3	23	647712	3.6
1999	25-34	1	M	2054-5	20	73316	27.3
1999	25-34	1	M	2106-3	29	221625	13.1
1999	25-34	4	M	2106-3	27	336511	8
1999	25-34	5	M	2054-5	10	26379	37.9 (Unreliable)
1999	25-34	5	M	2106-3	16	146118	11.0 (Unreliable)
1999	25-34	6	M	A-PI	19	333683	5.7 (Unreliable)
1999	25-34	6	M	2054-5	42	192455	21.8
1999	25-34	6	M	2106-3	212	2154953	9.8
1999	25-34	8	M	2106-3	36	309941	11.6
1999	25-34	9	M	2106-3	22	192125	11.5
1999	25-34	12	M	2054-5	51	173159	29.5
1999	25-34	12	M	2106-3	109	852204	12.8
1999	25-34	13	M	2054-5	54	181070	29.8
1999	25-34	13	M	2106-3	45	449688	10
1999	25-34	15	M	A-PI	12	53954	22.2 (Unreliable)
1999	25-34	17	M	2054-5	51	130949	38.9
1999	25-34	17	M	2106-3	98	741995	13.2
1999	25-34	18	M	2106-3	45	376621	11.9
1999	25-34	19	M	2106-3	15	175430	8.6 (Unreliable)
1999	25-34	21	M	2106-3	37	259218	14.3
1999	25-34	22	M	2054-5	32	91990	34.8
1999	25-34	22	M	2106-3	28	198948	14.1
1999	25-34	24	M	2054-5	21	110297	19
1999	25-34	24	M	2106-3	26	240230	10.8
1999	25-34	25	M	2054-5	11	33380	33.0 (Unreliable)
1999	25-34	25	M	2106-3	47	408169	11.5
1999	25-34	26	M	2054-5	23	103806	22.2
1999	25-34	26	M	2106-3	55	560159	9.8
1999	25-34	27	M	2106-3	23	306421	7.5
1999	25-34	28	M	2054-5	24	64525	37.2
1999	25-34	28	M	2106-3	30	119387	25.1
1999	25-34	29	M	2054-5	15	43023	34.9 (Unreliable)
1999	25-34	29	M	2106-3	43	317206	13.6
1999	25-34	31	M	2106-3	12	104734	11.5 (Unreliable)
1999	25-34	32	M	2106-3	15	134935	11.1 (Unreliable)
1999	25-34	34	M	2054-5	24	93584	25.6
