Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	65-74	6	F	2106-3	12	838654	1.4 (Unreliable)
1999	75-84	6	F	2106-3	14	637054	2.2 (Unreliable)
1999	75-84	6	M	2106-3	15	443359	3.4 (Unreliable)
1999	75-84	12	M	2106-3	10	409556	2.4 (Unreliable)
1999	85+	6	F	2106-3	11	251989	4.4 (Unreliable)
1999	85+	6	M	2106-3	14	112374	12.5 (Unreliable)
2000	75-84	6	F	2106-3	13	647738	2.0 (Unreliable)
2000	75-84	6	M	2106-3	14	448362	3.1 (Unreliable)
2000	75-84	12	F	2106-3	10	551072	1.8 (Unreliable)
2000	75-84	12	M	2106-3	11	413500	2.7 (Unreliable)
2000	85+	6	M	2106-3	12	116046	10.3 (Unreliable)
2001	65-74	6	F	2106-3	11	828258	1.3 (Unreliable)
2001	85+	6	F	2106-3	10	261819	3.8 (Unreliable)
2002	75-84	6	F	2106-3	10	665251	1.5 (Unreliable)
2002	75-84	6	M	2106-3	15	464062	3.2 (Unreliable)
2002	75-84	12	F	2106-3	11	563943	2.0 (Unreliable)
2002	85+	6	M	2106-3	12	124017	9.7 (Unreliable)
2003	75-84	6	F	2106-3	13	668110	1.9 (Unreliable)
2003	75-84	6	M	2106-3	12	468022	2.6 (Unreliable)
2003	85+	6	F	2106-3	12	269814	4.4 (Unreliable)
2003	85+	48	F	2106-3	11	154236	7.1 (Unreliable)
2004	75-84	6	F	2106-3	13	665735	2.0 (Unreliable)
2004	85+	6	F	2106-3	13	272506	4.8 (Unreliable)
2004	85+	6	M	2106-3	12	133635	9.0 (Unreliable)
2005	75-84	6	F	2106-3	18	663630	2.7 (Unreliable)
2005	75-84	6	M	2106-3	14	473413	3.0 (Unreliable)
2005	75-84	12	M	2106-3	11	447253	2.5 (Unreliable)
2005	85+	6	F	2106-3	12	281638	4.3 (Unreliable)
2005	85+	6	M	2106-3	15	140921	10.6 (Unreliable)
2005	85+	39	F	2106-3	10	128279	7.8 (Unreliable)
2005	85+	48	M	2106-3	11	71984	15.3 (Unreliable)
