Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	35-44	6	F	2106-3	10	2093980	0.5 (Unreliable)
1999	35-44	6	M	2106-3	12	2193874	0.5 (Unreliable)
1999	35-44	12	M	2106-3	10	1013083	1.0 (Unreliable)
1999	45-54	1	F	2054-5	10	72132	13.9 (Unreliable)
1999	45-54	1	M	2054-5	11	60978	18.0 (Unreliable)
1999	45-54	1	M	2106-3	11	220012	5.0 (Unreliable)
1999	45-54	4	M	2106-3	11	269979	4.1 (Unreliable)
1999	45-54	6	F	A-PI	10	284842	3.5 (Unreliable)
1999	45-54	6	F	2054-5	10	146717	6.8 (Unreliable)
1999	45-54	6	F	2106-3	42	1667026	2.5
1999	45-54	6	M	2054-5	19	133945	14.2 (Unreliable)
1999	45-54	6	M	2106-3	47	1656987	2.8
1999	45-54	12	F	2054-5	17	137206	12.4 (Unreliable)
1999	45-54	12	F	2106-3	25	860273	2.9
1999	45-54	12	M	2054-5	12	121182	9.9 (Unreliable)
1999	45-54	12	M	2106-3	32	823537	3.9
1999	45-54	13	F	2054-5	11	142401	7.7 (Unreliable)
1999	45-54	13	F	2106-3	14	382622	3.7 (Unreliable)
1999	45-54	13	M	2054-5	30	119625	25.1
1999	45-54	13	M	2106-3	11	377774	2.9 (Unreliable)
1999	45-54	17	F	2054-5	12	118667	10.1 (Unreliable)
1999	45-54	17	F	2106-3	13	656173	2.0 (Unreliable)
1999	45-54	17	M	2054-5	11	94314	11.7 (Unreliable)
1999	45-54	17	M	2106-3	23	651333	3.5
1999	45-54	18	F	2106-3	11	367103	3.0 (Unreliable)
1999	45-54	18	M	2106-3	16	362712	4.4 (Unreliable)
1999	45-54	21	M	2106-3	15	248142	6.0 (Unreliable)
1999	45-54	22	F	2054-5	13	88585	14.7 (Unreliable)
1999	45-54	22	M	2054-5	18	74409	24.2 (Unreliable)
1999	45-54	26	F	2106-3	10	566131	1.8 (Unreliable)
1999	45-54	26	M	2106-3	13	564986	2.3 (Unreliable)
1999	45-54	28	F	2054-5	12	58313	20.6 (Unreliable)
1999	45-54	28	M	2054-5	19	50393	37.7 (Unreliable)
1999	45-54	29	M	2106-3	15	315286	4.8 (Unreliable)
1999	45-54	34	F	2054-5	12	78076	15.4 (Unreliable)
1999	45-54	34	M	2106-3	19	451192	4.2 (Unreliable)
1999	45-54	36	F	2054-5	11	219892	5.0 (Unreliable)
1999	45-54	36	M	2054-5	11	172067	6.4 (Unreliable)
1999	45-54	36	M	2106-3	28	946618	3
1999	45-54	37	F	2054-5	17	112362	15.1 (Unreliable)
1999	45-54	37	M	2054-5	19	96062	19.8 (Unreliable)
1999	45-54	37	M	2106-3	14	405344	3.5 (Unreliable)
1999	45-54	39	F	2106-3	11	684403	1.6 (Unreliable)
1999	45-54	39	M	2106-3	17	668352	2.5 (Unreliable)
1999	45-54	40	F	2106-3	10	189946	5.3 (Unreliable)
1999	45-54	40	M	2106-3	14	185698	7.5 (Unreliable)
1999	45-54	42	F	2106-3	13	750604	1.7 (Unreliable)
1999	45-54	42	M	2054-5	10	65467	15.3 (Unreliable)
1999	45-54	42	M	2106-3	26	734941	3.5
1999	45-54	45	F	2054-5	16	77920	20.5 (Unreliable)
1999	45-54	45	M	2054-5	10	66029	15.1 (Unreliable)
1999	45-54	45	M	2106-3	17	189072	9.0 (Unreliable)
1999	45-54	47	F	2106-3	10	329656	3.0 (Unreliable)
1999	45-54	47	M	2054-5	10	48756	20.5 (Unreliable)
1999	45-54	47	M	2106-3	19	321822	5.9 (Unreliable)
1999	45-54	48	F	2054-5	12	143304	8.4 (Unreliable)
1999	45-54	48	F	2106-3	28	1084594	2.6
1999	45-54	48	M	2054-5	18	128599	14.0 (Unreliable)
1999	45-54	48	M	2106-3	51	1071753	4.8
1999	45-54	51	M	2054-5	18	78446	22.9 (Unreliable)
1999	45-54	51	M	2106-3	10	379070	2.6 (Unreliable)
1999	55-64	1	F	2054-5	19	42806	44.4 (Unreliable)
1999	55-64	1	F	2106-3	21	171646	12.2
1999	55-64	1	M	2054-5	30	33473	89.6
1999	55-64	1	M	2106-3	46	158860	29
1999	55-64	4	F	2106-3	26	207334	12.5
1999	55-64	4	M	2106-3	41	188927	21.7
1999	55-64	5	F	2054-5	11	13690	80.4 (Unreliable)
1999	55-64	5	F	2106-3	18	116130	15.5 (Unreliable)
1999	55-64	5	M	2106-3	29	107914	26.9
1999	55-64	6	F	A-PI	14	163350	8.6 (Unreliable)
1999	55-64	6	F	2054-5	32	90167	35.5
1999	55-64	6	F	2106-3	105	1052587	10
1999	55-64	6	M	A-PI	22	139937	15.7
1999	55-64	6	M	2054-5	40	79078	50.6
1999	55-64	6	M	2106-3	148	991258	14.9
1999	55-64	8	M	2106-3	19	152649	12.4 (Unreliable)
1999	55-64	9	M	2106-3	18	132087	13.6 (Unreliable)
1999	55-64	12	F	2054-5	28	82696	33.9
1999	55-64	12	F	2106-3	61	703522	8.7
1999	55-64	12	M	2054-5	46	70080	65.6
1999	55-64	12	M	2106-3	106	626593	16.9
1999	55-64	13	F	2054-5	38	75255	50.5
1999	55-64	13	F	2106-3	38	253060	15
1999	55-64	13	M	2054-5	45	59768	75.3
1999	55-64	13	M	2106-3	54	242865	22.2
1999	55-64	16	F	2106-3	10	51365	19.5 (Unreliable)
1999	55-64	17	F	2054-5	27	76613	35.2
1999	55-64	17	F	2106-3	58	442395	13.1
1999	55-64	17	M	2054-5	38	59468	63.9
1999	55-64	17	M	2106-3	63	414563	15.2
1999	55-64	18	F	2106-3	29	249334	11.6
1999	55-64	18	M	2106-3	41	234758	17.5
1999	55-64	19	F	2106-3	15	128797	11.6 (Unreliable)
1999	55-64	19	M	2106-3	15	121671	12.3 (Unreliable)
1999	55-64	20	F	2106-3	18	104600	17.2 (Unreliable)
1999	55-64	20	M	2106-3	19	99340	19.1 (Unreliable)
1999	55-64	21	F	2106-3	23	178515	12.9
1999	55-64	21	M	2106-3	45	166457	27
1999	55-64	22	F	2054-5	28	52857	53
1999	55-64	22	F	2106-3	23	141112	16.3
1999	55-64	22	M	2054-5	26	41688	62.4
1999	55-64	22	M	2106-3	28	132129	21.2
1999	55-64	23	F	2106-3	10	60651	16.5 (Unreliable)
1999	55-64	24	F	2054-5	18	59413	30.3 (Unreliable)
1999	55-64	24	F	2106-3	12	169450	7.1 (Unreliable)
1999	55-64	24	M	2054-5	20	48229	41.5
1999	55-64	24	M	2106-3	17	161830	10.5 (Unreliable)
1999	55-64	25	F	2106-3	12	258680	4.6 (Unreliable)
1999	55-64	25	M	2106-3	17	236489	7.2 (Unreliable)
1999	55-64	26	F	2054-5	15	51962	28.9 (Unreliable)
1999	55-64	26	F	2106-3	39	378211	10.3
1999	55-64	26	M	2054-5	11	42058	26.2 (Unreliable)
1999	55-64	26	M	2106-3	61	362270	16.8
1999	55-64	27	F	2106-3	11	193513	5.7 (Unreliable)
1999	55-64	27	M	2106-3	18	187156	9.6 (Unreliable)
1999	55-64	28	F	2054-5	18	34541	52.1 (Unreliable)
1999	55-64	28	F	2106-3	14	92140	15.2 (Unreliable)
1999	55-64	28	M	2054-5	25	27254	91.7
