Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	10-14	6	M	2106-3	13	991101	1.3 (Unreliable)
1999	10-14	25	M	2106-3	10	187481	5.3 (Unreliable)
1999	10-14	48	M	2106-3	20	683493	2.9
1999	15-19	1	M	2106-3	22	109772	20
1999	15-19	4	M	2106-3	27	159963	16.9
1999	15-19	5	M	2106-3	23	79473	28.9
1999	15-19	6	F	2106-3	20	889540	2.2
1999	15-19	6	M	A-PI	11	157068	7.0 (Unreliable)
1999	15-19	6	M	2054-5	10	102338	9.8 (Unreliable)
1999	15-19	6	M	2106-3	64	967872	6.6
1999	15-19	8	M	2106-3	33	142731	23.1
1999	15-19	12	M	2106-3	48	383921	12.5
1999	15-19	13	M	2054-5	10	102312	9.8 (Unreliable)
1999	15-19	13	M	2106-3	30	195329	15.4
1999	15-19	16	M	2106-3	11	54618	20.1 (Unreliable)
1999	15-19	17	M	2054-5	13	83178	15.6 (Unreliable)
1999	15-19	17	M	2106-3	36	360107	10
1999	15-19	18	M	2106-3	28	206706	13.5
1999	15-19	19	M	2106-3	20	111261	18
1999	15-19	20	M	2106-3	12	96589	12.4 (Unreliable)
1999	15-19	21	M	2106-3	18	134580	13.4 (Unreliable)
1999	15-19	22	M	2106-3	24	110614	21.7
1999	15-19	24	M	2106-3	15	112148	13.4 (Unreliable)
1999	15-19	25	M	2106-3	12	177597	6.8 (Unreliable)
1999	15-19	26	M	2054-5	10	58006	17.2 (Unreliable)
1999	15-19	26	M	2106-3	41	299937	13.7
1999	15-19	27	M	2106-3	29	171056	17
1999	15-19	28	M	2106-3	15	65607	22.9 (Unreliable)
1999	15-19	29	F	2106-3	14	170830	8.2 (Unreliable)
1999	15-19	29	M	2106-3	32	178607	17.9
1999	15-19	31	M	2106-3	14	64080	21.8 (Unreliable)
1999	15-19	34	M	2106-3	12	202095	5.9 (Unreliable)
1999	15-19	35	M	2106-3	18	62807	28.7 (Unreliable)
1999	15-19	36	M	2106-3	39	471938	8.3
1999	15-19	37	M	2106-3	27	193000	14
1999	15-19	39	M	2106-3	42	355493	11.8
1999	15-19	40	M	2106-3	22	107356	20.5
1999	15-19	41	M	2106-3	21	114985	18.3
1999	15-19	42	M	2106-3	53	368570	14.4
1999	15-19	45	M	2106-3	19	94143	20.2 (Unreliable)
1999	15-19	46	M	2106-3	11	28122	39.1 (Unreliable)
1999	15-19	47	M	2106-3	24	158563	15.1
1999	15-19	48	F	2106-3	14	647570	2.2 (Unreliable)
1999	15-19	48	M	2106-3	93	698725	13.3
1999	15-19	49	M	2106-3	21	103774	20.2
1999	15-19	51	M	2106-3	28	175569	15.9
1999	15-19	53	F	2106-3	12	176066	6.8 (Unreliable)
1999	15-19	53	M	2106-3	35	187606	18.7
1999	15-19	55	M	2106-3	27	185221	14.6
1999	15-19	56	M	2106-3	10	21082	47.4 (Unreliable)
1999	20-24	1	M	2054-5	14	44094	31.8 (Unreliable)
1999	20-24	1	M	2106-3	32	104773	30.5
1999	20-24	4	M	2106-3	33	160512	20.6
1999	20-24	5	M	2106-3	28	71942	38.9
1999	20-24	6	F	2106-3	16	842583	1.9 (Unreliable)
1999	20-24	6	M	A-PI	20	150852	13.3
1999	20-24	6	M	2054-5	16	88194	18.1 (Unreliable)
1999	20-24	6	M	2106-3	157	948716	16.5
1999	20-24	8	M	2106-3	34	141371	24.1
1999	20-24	9	M	2106-3	16	77338	20.7 (Unreliable)
1999	20-24	12	F	2106-3	14	332596	4.2 (Unreliable)
1999	20-24	12	M	2106-3	76	358684	21.2
1999	20-24	13	M	2054-5	15	88593	16.9 (Unreliable)
1999	20-24	13	M	2106-3	43	198151	21.7
1999	20-24	17	F	2106-3	12	315530	3.8 (Unreliable)
1999	20-24	17	M	2054-5	14	67256	20.8 (Unreliable)
1999	20-24	17	M	2106-3	53	337145	15.7
1999	20-24	18	M	2106-3	39	189142	20.6
1999	20-24	19	M	2106-3	27	95763	28.2
1999	20-24	20	M	2106-3	36	85238	42.2
1999	20-24	21	M	2106-3	22	127365	17.3
1999	20-24	22	M	2054-5	15	56191	26.7 (Unreliable)
1999	20-24	22	M	2106-3	32	98994	32.3
1999	20-24	24	M	2054-5	14	47229	29.6 (Unreliable)
1999	20-24	24	M	2106-3	16	96976	16.5 (Unreliable)
1999	20-24	25	M	2106-3	14	166019	8.4 (Unreliable)
1999	20-24	26	F	2106-3	10	250588	4.0 (Unreliable)
1999	20-24	26	M	2054-5	11	50561	21.8 (Unreliable)
1999	20-24	26	M	2106-3	54	259424	20.8
1999	20-24	27	M	2106-3	33	142415	23.2
1999	20-24	28	M	2106-3	14	61614	22.7 (Unreliable)
1999	20-24	29	M	2054-5	10	22099	45.3 (Unreliable)
1999	20-24	29	M	2106-3	36	154210	23.3
1999	20-24	31	M	2106-3	14	55173	25.4 (Unreliable)
1999	20-24	32	M	2106-3	19	54110	35.1 (Unreliable)
1999	20-24	33	M	2106-3	12	32239	37.2 (Unreliable)
1999	20-24	34	M	2106-3	26	182461	14.2
1999	20-24	35	M	2106-3	23	50677	45.4
1999	20-24	36	F	2106-3	11	429566	2.6 (Unreliable)
1999	20-24	36	M	2054-5	14	120443	11.6 (Unreliable)
1999	20-24	36	M	2106-3	62	443993	14
1999	20-24	37	M	2106-3	58	219558	26.4
1999	20-24	39	M	2054-5	13	45194	28.8 (Unreliable)
1999	20-24	39	M	2106-3	73	308022	23.7
1999	20-24	40	M	2106-3	35	98453	35.5
1999	20-24	41	M	2106-3	23	104802	21.9
1999	20-24	42	F	2106-3	18	311274	5.8 (Unreliable)
1999	20-24	42	M	2054-5	12	43678	27.5 (Unreliable)
1999	20-24	42	M	2106-3	67	314064	21.3
1999	20-24	45	M	2106-3	25	94595	26.4
1999	20-24	46	M	2106-3	11	23555	46.7 (Unreliable)
1999	20-24	47	M	2106-3	35	152788	22.9
1999	20-24	48	F	2106-3	17	600202	2.8 (Unreliable)
1999	20-24	48	M	2054-5	13	93152	14.0 (Unreliable)
1999	20-24	48	M	2106-3	133	647712	20.5
1999	20-24	49	M	2106-3	29	102694	28.2
1999	20-24	51	M	2106-3	29	178047	16.3
1999	20-24	53	M	2106-3	41	166662	24.6
1999	20-24	54	M	2106-3	15	57653	26.0 (Unreliable)
1999	20-24	55	M	2106-3	55	160372	34.3
1999	25-34	1	F	2106-3	12	215681	5.6 (Unreliable)
1999	25-34	1	M	2054-5	13	73316	17.7 (Unreliable)
1999	25-34	1	M	2106-3	56	221625	25.3
1999	25-34	4	F	2106-3	16	309150	5.2 (Unreliable)
1999	25-34	4	M	1002-5	14	20020	69.9 (Unreliable)
1999	25-34	4	M	2106-3	102	336511	30.3
1999	25-34	5	F	2106-3	15	140744	10.7 (Unreliable)
1999	25-34	5	M	2106-3	40	146118	27.4
1999	25-34	6	F	A-PI	14	363717	3.8 (Unreliable)
1999	25-34	6	F	2106-3	85	1965474	4.3
1999	25-34	6	M	A-PI	39	333683	11.7
1999	25-34	6	M	2054-5	25	192455	13
1999	25-34	6	M	2106-3	332	2154953	15.4
1999	25-34	8	F	2106-3	15	283142	5.3 (Unreliable)
1999	25-34	8	M	2106-3	81	309941	26.1
1999	25-34	9	M	2106-3	30	192125	15.6
1999	25-34	10	M	2106-3	13	41855	31.1 (Unreliable)
1999	25-34	12	F	2106-3	56	812689	6.9
1999	25-34	12	M	2054-5	22	173159	12.7
1999	25-34	12	M	2106-3	209	852204	24.5
1999	25-34	13	F	2106-3	28	415411	6.7
1999	25-34	13	M	2054-5	31	181070	17.1
1999	25-34	13	M	2106-3	118	449688	26.2
1999	25-34	15	M	A-PI	21	53954	38.9
1999	25-34	16	M	2106-3	21	81255	25.8
1999	25-34	17	F	2106-3	25	705815	3.5
1999	25-34	17	M	2054-5	28	130949	21.4
1999	25-34	17	M	2106-3	130	741995	17.5
1999	25-34	18	F	2106-3	11	367052	3.0 (Unreliable)
1999	25-34	18	M	2106-3	99	376621	26.3
1999	25-34	19	M	2106-3	37	175430	21.1
1999	25-34	20	M	2106-3	43	160004	26.9
1999	25-34	21	M	2106-3	70	259218	27
1999	25-34	22	F	2106-3	12	196701	6.1 (Unreliable)
1999	25-34	22	M	2054-5	15	91990	16.3 (Unreliable)
1999	25-34	22	M	2106-3	68	198948	34.2
1999	25-34	23	M	2106-3	25	76108	32.8
1999	25-34	24	F	2106-3	12	241255	5.0 (Unreliable)
1999	25-34	24	M	2054-5	10	110297	9.1 (Unreliable)
1999	25-34	24	M	2106-3	53	240230	22.1
1999	25-34	25	F	2106-3	14	418598	3.3 (Unreliable)
1999	25-34	25	M	2106-3	63	408169	15.4
1999	25-34	26	F	2106-3	17	544349	3.1 (Unreliable)
1999	25-34	26	M	2054-5	25	103806	24.1
1999	25-34	26	M	2106-3	139	560159	24.8
1999	25-34	27	M	2106-3	59	306421	19.3
1999	25-34	28	M	2106-3	24	119387	20.1
1999	25-34	29	F	2106-3	18	314379	5.7 (Unreliable)
1999	25-34	29	M	2054-5	18	43023	41.8 (Unreliable)
1999	25-34	29	M	2106-3	82	317206	25.9
1999	25-34	31	M	2106-3	29	104734	27.7
1999	25-34	32	F	2106-3	10	120997	8.3 (Unreliable)
1999	25-34	32	M	2106-3	52	134935	38.5
1999	25-34	33	M	2106-3	22	77370	28.4
1999	25-34	34	M	2054-5	14	93584	15.0 (Unreliable)
1999	25-34	34	M	2106-3	63	458573	13.7
1999	25-34	35	F	2106-3	12	99257	12.1 (Unreliable)
1999	25-34	35	M	2106-3	32	99414	32.2
1999	25-34	36	F	2106-3	27	1013805	2.7
1999	25-34	36	M	2054-5	29	243118	11.9
1999	25-34	36	M	2106-3	138	1018155	13.6
1999	25-34	37	F	2106-3	25	436537	5.7
1999	25-34	37	M	2054-5	16	126664	12.6 (Unreliable)
1999	25-34	37	M	2106-3	117	469718	24.9
1999	25-34	39	F	2106-3	29	655707	4.4
1999	25-34	39	M	2054-5	20	89458	22.4
1999	25-34	39	M	2106-3	131	657691	19.9
1999	25-34	40	F	2106-3	23	176980	13
1999	25-34	40	M	2106-3	68	183605	37
1999	25-34	41	M	2106-3	56	218747	25.6
1999	25-34	42	F	2106-3	35	679965	5.1
1999	25-34	42	M	2054-5	21	87941	23.9
1999	25-34	42	M	2106-3	156	677463	23
1999	25-34	44	M	2106-3	13	62523	20.8 (Unreliable)
1999	25-34	45	F	2106-3	13	189625	6.9 (Unreliable)
1999	25-34	45	M	2106-3	37	197556	18.7
1999	25-34	47	F	2106-3	33	327689	10.1
1999	25-34	47	M	2054-5	17	66157	25.7 (Unreliable)
1999	25-34	47	M	2106-3	100	335729	29.8
1999	25-34	48	F	2106-3	68	1271117	5.3
1999	25-34	48	M	2054-5	23	188905	12.2
1999	25-34	48	M	2106-3	262	1332460	19.7
1999	25-34	49	M	2106-3	43	155805	27.6
1999	25-34	51	F	2106-3	25	380443	6.6
1999	25-34	51	M	2054-5	27	103998	26
1999	25-34	51	M	2106-3	93	392238	23.7
1999	25-34	53	F	2106-3	18	351921	5.1 (Unreliable)
1999	25-34	53	M	2106-3	101	369539	27.3
1999	25-34	54	M	2106-3	25	109015	22.9
1999	25-34	55	F	2106-3	15	314911	4.8 (Unreliable)
1999	25-34	55	M	2106-3	69	326120	21.2
1999	25-34	56	M	2106-3	12	28783	41.7 (Unreliable)
1999	35-44	1	F	2106-3	23	249564	9.2
1999	35-44	1	M	2106-3	91	251701	36.2
1999	35-44	2	M	2106-3	13	47259	27.5 (Unreliable)
1999	35-44	4	F	2106-3	40	333472	12
1999	35-44	4	M	2106-3	99	342180	28.9
1999	35-44	5	F	2106-3	18	162907	11.0 (Unreliable)
1999	35-44	5	M	2106-3	49	163900	29.9
1999	35-44	6	F	2106-3	138	2093980	6.6
1999	35-44	6	M	A-PI	32	325730	9.8
1999	35-44	6	M	2054-5	29	205060	14.1
1999	35-44	6	M	2106-3	426	2193874	19.4
1999	35-44	8	F	2106-3	28	336632	8.3
1999	35-44	8	M	2106-3	103	343554	30
1999	35-44	9	F	2106-3	18	257331	7.0 (Unreliable)
1999	35-44	9	M	2106-3	37	250696	14.8
1999	35-44	10	M	2106-3	21	48947	42.9
1999	35-44	12	F	2106-3	107	998863	10.7
1999	35-44	12	M	2054-5	28	180041	15.6
1999	35-44	12	M	2106-3	304	1013083	30
1999	35-44	13	F	2106-3	38	449947	8.4
1999	35-44	13	M	2054-5	30	177737	16.9
1999	35-44	13	M	2106-3	100	465113	21.5
1999	35-44	15	M	A-PI	18	60596	29.7 (Unreliable)
1999	35-44	15	M	2106-3	12	33614	35.7 (Unreliable)
1999	35-44	16	F	2106-3	12	92981	12.9 (Unreliable)
1999	35-44	16	M	2106-3	31	94347	32.9
1999	35-44	17	F	2106-3	48	801902	6
1999	35-44	17	M	2054-5	25	133734	18.7
1999	35-44	17	M	2106-3	158	814083	19.4
1999	35-44	18	F	2106-3	28	434546	6.4
1999	35-44	18	M	2106-3	110	435152	25.3
1999	35-44	19	F	2106-3	11	216763	5.1 (Unreliable)
1999	35-44	19	M	2106-3	48	216669	22.2
1999	35-44	20	F	2106-3	13	192796	6.7 (Unreliable)
1999	35-44	20	M	2106-3	45	193341	23.3
1999	35-44	21	F	2106-3	20	296513	6.7
1999	35-44	21	M	2106-3	95	290492	32.7
1999	35-44	22	F	2106-3	22	233340	9.4
1999	35-44	22	M	2054-5	15	98273	15.3 (Unreliable)
1999	35-44	22	M	2106-3	57	234319	24.3
1999	35-44	23	F	2106-3	10	106960	9.3 (Unreliable)
1999	35-44	23	M	2106-3	33	102520	32.2
1999	35-44	24	F	2106-3	15	304611	4.9 (Unreliable)
1999	35-44	24	M	2054-5	16	119217	13.4 (Unreliable)
1999	35-44	24	M	2106-3	59	302300	19.5
1999	35-44	25	F	2106-3	27	480813	5.6
1999	35-44	25	M	2106-3	75	465996	16.1
1999	35-44	26	F	2106-3	48	673010	7.1
1999	35-44	26	M	2054-5	12	98477	12.2 (Unreliable)
1999	35-44	26	M	2106-3	153	677568	22.6
1999	35-44	27	F	2106-3	19	381344	5.0 (Unreliable)
1999	35-44	27	M	2106-3	87	385748	22.6
1999	35-44	28	F	2106-3	10	133649	7.5 (Unreliable)
1999	35-44	28	M	2054-5	17	68159	24.9 (Unreliable)
1999	35-44	28	M	2106-3	43	135641	31.7
1999	35-44	29	F	2106-3	32	386928	8.3
1999	35-44	29	M	2106-3	120	385875	31.1
1999	35-44	30	M	2106-3	26	66600	39
1999	35-44	31	M	2106-3	30	125889	23.8
1999	35-44	32	F	2106-3	12	127485	9.4 (Unreliable)
1999	35-44	32	M	2106-3	63	141203	44.6
1999	35-44	33	M	2106-3	20	106789	18.7
1999	35-44	34	F	2106-3	34	568115	6
1999	35-44	34	M	2106-3	94	564199	16.7
1999	35-44	35	F	2106-3	14	124882	11.2 (Unreliable)
1999	35-44	35	M	2106-3	47	122266	38.4
1999	35-44	36	F	2106-3	35	1155928	3
1999	35-44	36	M	2054-5	22	247269	8.9
1999	35-44	36	M	2106-3	174	1148716	15.1
1999	35-44	37	F	2106-3	37	477914	7.7
1999	35-44	37	M	2054-5	14	129517	10.8 (Unreliable)
1999	35-44	37	M	2106-3	134	486669	27.5
1999	35-44	39	F	2106-3	43	796180	5.4
1999	35-44	39	M	2054-5	14	94895	14.8 (Unreliable)
1999	35-44	39	M	2106-3	189	787792	24
1999	35-44	40	F	2106-3	26	216761	12
1999	35-44	40	M	2106-3	80	217472	36.8
1999	35-44	41	F	2106-3	26	247413	10.5
1999	35-44	41	M	2106-3	72	247754	29.1
1999	35-44	42	F	2106-3	61	866437	7
1999	35-44	42	M	2054-5	13	90881	14.3 (Unreliable)
1999	35-44	42	M	2106-3	231	855660	27
1999	35-44	44	M	2106-3	21	76283	27.5
1999	35-44	45	F	2106-3	15	214114	7.0 (Unreliable)
1999	35-44	45	M	2054-5	13	83742	15.5 (Unreliable)
1999	35-44	45	M	2106-3	68	216747	31.4
1999	35-44	46	M	2106-3	11	53623	20.5 (Unreliable)
1999	35-44	47	F	2106-3	33	371282	8.9
1999	35-44	47	M	2054-5	10	67421	14.8 (Unreliable)
1999	35-44	47	M	2106-3	128	367612	34.8
1999	35-44	48	F	2106-3	95	1367474	6.9
1999	35-44	48	M	2054-5	23	194964	11.8
1999	35-44	48	M	2106-3	327	1398953	23.4
1999	35-44	49	F	2106-3	13	140434	9.3 (Unreliable)
1999	35-44	49	M	2106-3	53	143468	36.9
1999	35-44	50	M	2106-3	12	49489	24.2 (Unreliable)
1999	35-44	51	F	2106-3	35	447263	7.8
1999	35-44	51	M	2054-5	14	113819	12.3 (Unreliable)
1999	35-44	51	M	2106-3	115	450314	25.5
1999	35-44	53	F	2106-3	32	428726	7.5
1999	35-44	53	M	2106-3	129	436053	29.6
1999	35-44	54	M	2106-3	36	129888	27.7
1999	35-44	55	F	2106-3	24	403220	6
1999	35-44	55	M	2106-3	86	409441	21
1999	45-54	1	F	2106-3	16	224926	7.1 (Unreliable)
1999	45-54	1	M	2106-3	67	220012	30.5
1999	45-54	2	M	2106-3	10	40501	24.7 (Unreliable)
1999	45-54	4	F	2106-3	38	279577	13.6
1999	45-54	4	M	2106-3	87	269979	32.2
1999	45-54	5	M	2106-3	35	143137	24.5
1999	45-54	6	F	A-PI	10	284842	3.5 (Unreliable)
1999	45-54	6	F	2106-3	135	1667026	8.1
1999	45-54	6	M	A-PI	28	248632	11.3
1999	45-54	6	M	2054-5	14	133945	10.5 (Unreliable)
1999	45-54	6	M	2106-3	402	1656987	24.3
1999	45-54	8	F	2106-3	24	276456	8.7
1999	45-54	8	M	2106-3	78	279042	28
1999	45-54	9	F	2106-3	11	214934	5.1 (Unreliable)
